itemname,median,qt25,qt75,n
"Sweet potato, fried",656,656,656,1
"Beer, local, grain",638.8,427.32500000000005,1000,14
"Beer, commercial",500,375.00000000000006,1500,11
"Fish, high fat",495.8519999999999,288.98099999999994,495.8519999999999,2
"Sweet potato, fresh-AP",489.6,489.6,734.4,6
"Yam, raw",486,486,486,1
"Maize, green, cooked",412.7,316.206,486.882,13
"Beer, local, non-specific",402.31,354.46500000000003,450.155,2
"Sweet potato, boiled",393.6,253.6,629.5999999999999,8
"Sweet potato, fresh--EP",393.6,262.4,734.4,11
Coconut juice,380.95,380.95,380.95,1
"Fruit flavored drink, concentrated",374.034,374.034,374.034,1
"Cassava, boiled",364.5,324,486,8
"Bean, kidney, green, cooked",361,334,493.88500000000005,8
"Carbonated, beverage, coca cola",350,350,350,12
Energy drink,350,350,350,1
"Orange drink, concentrated",336,180.417125,518,3
"Banana, fried",335.6,251.7,419.5,12
"Fresh milk, cow",323.36,323.36,323.36,1
"Watermelon, raw",309.504,172.38,344.76,8
"Mango, ripe, fresh-EP",289.248,204.8,409.6,22
"Mango, unripe",289.248,195.824,349.424,3
Mango juice,288.488,269.244,307.73199999999997,2
"Maize, yellow, flour",272.73578595317736,120.01256270903015,276.07150919732453,6
"Beans, kidney, mature, boiled without salt",259.4,159.3,334,28
"Banana, roast",251.55,208.65,278.2,11
"Maize, flour, dry",248.86602864089278,124.43301432044639,357.2085669716263,150
"Taro, cooked, without salt",243,215.34,324,5
Lettuce,217.2,217.2,217.2,1
"Cassava, dried",215.4,215.4,215.4,1
Vegetable fat,212,212,212,1
"Papaya, unripe",205.6,205.6,205.6,1
"Yogurt, plain, whole milk",202.696407506099,95.95263924999898,323.4,48
"Bambara groundnut, fresh",189.5,151.75,227.25,2
Cowpea leaf,182.176,152.088,212.264,2
"Pigeon peas, cooked",179.78,179.78,179.78,1
"Corn, roasted",166.4,131.2,201.60000000000002,2
"Rice, white, grain, raw",164.08252313682303,84.66681774565515,176.55951535755082,107
"Taro, raw",162,162,162,1
Bread roll,160,118,236,8
"Muhogo mbichi / Cassava, raw",157.87222044472884,107.9827227643577,330.188,16
"Papaya, ripe",154.2,39.3075,346.95,24
"Maize, dried, raw",151.45022328666073,97.89892505853432,151.45022328666073,90
"Banana,  boiled",134.79583176177604,103.88806575085145,148.74887074680157,132
"Potato, boiled",131.75,131.75,333.325,4
Oranges,128,75.5064,128,21
"Maize, on the cob, immature",127.3,111.3,197,7
"Passion, fruit",126.48240000000001,126.48240000000001,126.48240000000001,1
"Bread, white",120,120,160,13
Milk,112.97891412128239,67.70245511212727,194.46296694321438,156
"Mung bean (dry, boiled)",109.21428571428572,46.1918956043956,119.28571428571429,11
"Milk powder, full-cream",103.56666666666666,49.12599999999999,207.13333333333333,10
Chickpea,95.13060766531042,95.13060766531042,95.13060766531042,1
"Matango na maganda / Cucumber, wit",91,13.777839521899557,291.8,27
Pineapple,90.072,60.989999999999995,98.18,15
"Wheat, flour, maida",88.72392498824904,59.14928332549936,125.35496957403652,91
"Fish, small, dried, fresh water",86.88325816715253,13.796050528160896,86.88325816715253,12
"Rice, fried and boiled",86.58966418743564,77.23665847558667,86.58966418743564,46
"Banana, ripe",86.57,86.57,123.42,21
Ice cream,85,85,85,1
"Avocado, raw, all common variety",84.18,70.2,84.18,12
"Mutton, meat",83.81692933521617,47.848438107074855,150.67758867121654,7
Vermicelli - uncooked,80.17006802721087,80.17006802721087,117.84,14
"Meat, barbecued",79,49.5,272.9525,6
Palm oil,77.53608317942401,63.273821738833014,77.53608317942401,11
Chickpea flour (besan),77.5,77.5,77.5,1
"Soybean, yellow",77.4541105724467,49.86444281263917,104.3850048127781,52
"Beef, liver, cooked",72.91,72.91,72.91,3
"Fish, raw",69.03720579092266,44.83628208544265,131.04,45
"Beans, kidney, mature seeds, raw",69.02172204317404,38.26640462210351,76.53280924420702,162
Egg boiled,66.15,45.144,93.072,6
"Pork, medium fat, cooked",65.76464245345008,39.702756000891874,116.69941356775483,17
"Sukuma Wiki, boiled",62.643173255209504,59.85512966993467,97.87625414472895,22
"Jackfruit, raw",60,60,60,1
