itemcode,itemname,per
101,RICE (PADDY),1.0
102,RICE (HUSKED),70.0
103,"MAIZE (GREEN, COB)",11.8
104,MAIZE (GRAIN),15.7
105,MAIZE (FLOUR),90.7
106,MILLET AND SORGHUM (GRAIN),0.8
107,MILLET AND SORGHUM (FLOUR),8.1
109,BREAD,19.7
111,"MACARONI, SPAGHETTI",8.9
112,OTHER CEREAL PRODUCTS,1.1
201,CASSAVA FRESH,28.0
202,CASSAVA DRY/FLOUR,14.8
203,SWEET POTATOES,27.8
204,YAMS/COCOYAMS,7.2
205,IRISH POTATOES,26.9
206,"COOKING BANANAS, PLANTAINS",32.5
207,OTHER STARCHES,1.0
301,SUGAR,70.8
302,SWEETS,6.2
303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS",8.8
501,GROUNDNUTS IN SHELL/SHELLED,27.9
502,COCONUTS (MATURE/IMMATURE),19.7
503,"CASHEW, ALMONDS AND OTHER NUTS",1.9
504,SEEDS AND PRODUCTS FROM NUTS/SEEDS (EXCL. COOKING OIL),0.2
603,"CANNED, DRIED, AND WILD VEGETABLES",9.9
701,RIPE BANANAS,29.8
704,SUGARCANE,16.7
801,GOAT MEAT,9.4
802,BEEF (INCLUDING MINCED SAUSAGE),34.4
803,PORK (INCLUDING SAUSAGES AND BACON),6.0
805,WILD BIRDS AND INSECTS,0.2
806,OTHER DOMESTIC/WILD MEAT PRODUCTS,0.1
807,EGGS,16.7
809,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),34.7
810,PACKAGED/CANNED FISH,0.1
901,FRESH MILK,26.0
902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)",14.4
903,CANNED MILK/MILK POWDER,0.6
1001,COOKING OIL,89.1
1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",2.5
1003,SALT,98.7
1004,OTHER SPICES,11.1
1081,WHEAT FLOUR,17.6
1082,BARLEY GRAIN AND OTHER CEREALS,0.2
1101,TEA DRY,43.7
1102,COFFEE AND COCOA,1.7
1103,OTHER RAW MATERIALS FOR DRINKS,1.8
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",22.2
1105,"PREPARED TEA, COFFEE",0.3
1106,BOTTLED BEER,1.7
1107,LOCAL BREWS,4.8
1108,WINE AND SPIRITS,0.4
4011,PEAS,14.0
4012,GREEN BEANS,21.4
4013,"OTHER BEANS, LENTILS, AND PULSES",52.0
6011,ONIONS,90.7
6012,TOMATOES,90.7
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",34.8
6021,CABBAGE,19.5
6022,CHINESS/SPINACH,27.9
6023,OTHER GREEN VEGETABLE,68.6
7021,LEMON/LIME,27.4
7022,ORANGE/TANGERINE,19.7
7023,OTHER CITRUS FRUITS,1.2
7031,MANGOES,23.2
7032,AVOCADO,20.8
7033,OTHER FRUITS,5.9
8041,CHICKEN,17.7
8042,OTHER POULTRY,0.4
8081,DAGAA (FRESH),41.8
8082,KOLEKOLE (FRESH),1.7
8083,TILAPIA (FRESH),3.8
8084,OTHER FRESH FISH AND SEAFOOD,14.6
11011,BUNS,31.0
11021,CAKES AND BISCUITS,5.8
