itemcode,itemname,median,qt25,qt75,n
101,Rice (paddy),220.78247279591935,107.82851056655744,322.61594316911066,45
105,Maize (flour),202.08983490543375,116.94548437966378,315.3275709904727,3360
207,Other starches,138.87088438861628,84.99222583070177,238.1622077353242,48
102,Rice (husked),137.92479965545817,77.31792177117762,222.01657132660023,2948
1082,Barley grain and other cereals,112.95136420202434,25.573921696793775,201.6350811497176,11
1107,Local brews,107.9252538857085,42.21318379628769,185.0534516728319,160
202,Cassava dry/flour,101.13727408686991,52.263457000959605,195.88658768035668,562
203,Sweet potatoes,94.01858337230574,47.979833828846424,185.37562713654327,1106
901,Fresh milk,88.36694417378651,46.08643703113197,172.8797131441813,1024
112,Other cereal products,70.05062952056613,30.704716778312054,128.89015828555728,56
204,Yams/cocoyams,64.47827178612174,40.02082984828125,111.63579951176249,245
206,"Cooking bananas, plantains",61.39948903166726,35.23007159190156,114.9126432599334,1327
704,Sugarcane,60.79341845925446,25.369637306291416,123.4532603615488,576
1106,Bottled beer,59.66344652209885,31.000565203495558,125.42240139500852,61
201,Cassava fresh,56.44036977638158,34.06757725530268,98.33451741833886,1256
7033,Other fruits,52.86501013115263,29.150457648363442,101.1065938091286,233
103,"Maize (green, cob)",50.40093494848317,25.297293191349084,104.2134829037567,471
1104,"Bottled/canned soft drinks (soda, juice, water)",48.34004876176627,30.941702563108812,79.57500118763853,836
902,"Milk products (like cream, cheese, yoghurt etc)",47.902988269344405,26.615608732658863,95.80597653868881,554
1081,Wheat flour,46.977505246834816,30.03518198320263,81.91310661614432,894
8042,Other poultry,46.14598680597491,26.309325094850593,70.36965351640742,15
205,Irish potatoes,45.72967548742167,24.44704819313023,88.08075210352848,1412
104,Maize (grain),45.70776889182091,28.855059946707613,80.25363824375975,511
7031,Mangoes,44.56058741857312,20.707776480509587,90.284676933175,956
107,Millet and sorghum (flour),44.178435345341484,24.225710644419394,93.02231427227244,318
601,"Onions, tomatoes, carrots and green pepper, other viungo",43.37128721175845,21.744078256954072,78.31841156299856,332
