hhid,itemcode,itemname,groupcode,groupname,gafed,adm1
1000-001-01,104,Maize (grain),1,Cereals and cereal products,229.52916924050282,2
1000-001-01,105,Maize (flour),1,Cereals and cereal products,204.0259282137803,2
1000-001-01,205,Irish potatoes,2,Starches,189.7441132388157,2
1000-001-01,301,Sugar,7,Sugar and sweets,25.503241026722538,2
1000-001-01,809,Dried/salted/canned fish and seafood (incl. Dagaa),9,"Meat, meat products and fish",7.650972308016761,2
1000-001-01,1001,Cooking oil,11,Oil and fats,23.233452575344227,2
1000-001-01,1003,Salt,13,Spices and other foods,7.650972308016761,2
1000-001-01,1101,Tea dry,6,Beverages,1.2751620513361268,2
1000-001-01,4011,Peas,3,"Pulses, dry",33.775727725310766,2
1000-001-01,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",76.50972308016762,2
1000-001-01,6011,Onions,4,Vegetables,11.348942256891528,2
1000-001-01,6012,Tomatoes,4,Vegetables,24.993176206188085,2
1000-001-01,6023,Other green vegetable,4,Vegetables,40.49955090340434,2
1000-001-02,105,Maize (flour),1,Cereals and cereal products,459.5010865164931,2
1000-001-02,205,Irish potatoes,2,Starches,427.33601046033857,2
1000-001-02,901,Fresh milk,12,Milk and milk products,60.59670578436253,2
1000-001-02,902,"Milk products (like cream, cheese, yoghurt etc)",12,Milk and milk products,95.80597653868881,2
1000-001-02,1003,Salt,13,Spices and other foods,4.595010865164931,2
1000-001-02,6011,Onions,4,Vegetables,27.91124474772808,2
1000-001-02,6012,Tomatoes,4,Vegetables,84.32074688120906,2
1000-001-03,102,Rice (husked),1,Cereals and cereal products,66.611493393047,2
1000-001-03,105,Maize (flour),1,Cereals and cereal products,133.222986786094,2
1000-001-03,205,Irish potatoes,2,Starches,92.92303328330057,2
1000-001-03,301,Sugar,7,Sugar and sweets,33.3057466965235,2
1000-001-03,801,Goat meat,9,"Meat, meat products and fish",24.146666354979537,2
1000-001-03,803,Pork (including sausages and bacon),9,"Meat, meat products and fish",16.65287334826175,2
1000-001-03,901,Fresh milk,12,Milk and milk products,140.55025105932916,2
1000-001-03,1001,Cooking oil,11,Oil and fats,30.308229493836386,2
1000-001-03,1003,Salt,13,Spices and other foods,8.326436674130875,2
1000-001-03,4013,"Other beans, lentils, and pulses",3,"Pulses, dry",99.91724008957051,2
1000-001-03,6011,Onions,4,Vegetables,17.785268735943543,2
1000-001-03,6012,Tomatoes,4,Vegetables,48.95944764388954,2
1000-001-03,6013,"Carrots and green pepper, other viungo",4,Vegetables,24.073888620956783,2
1000-001-03,6023,Other green vegetable,4,Vegetables,89.25196537289241,2
1000-001-03,7022,Orange/tangerine,5,Fruits,18.73448251679447,2
1000-001-03,11011,Buns,1,Cereals and cereal products,0.8326436674130875,2
1000-001-06,102,Rice (husked),1,Cereals and cereal products,158.916087047374,2
1000-001-06,104,Maize (grain),1,Cereals and cereal products,79.458043523687,2
1000-001-06,105,Maize (flour),1,Cereals and cereal products,52.97202901579133,2
1000-001-06,205,Irish potatoes,2,Starches,98.52797396937187,2
1000-001-06,206,"Cooking bananas, plantains",2,Starches,79.458043523687,2
1000-001-06,301,Sugar,7,Sugar and sweets,26.486014507895664,2
1000-001-06,501,Groundnuts in shell/shelled,8,Nuts and seeds,52.97202901579133,2
1000-001-06,701,Ripe bananas,5,Fruits,67.53933699513394,2
