hhid,groupcode,groupname,grpcons,cons
1000-001-01,1,Cereals and cereal products,433.5550974542831,1
1000-001-01,2,Starches,189.7441132388157,1
1000-001-01,3,"Pulses, dry",110.28545080547838,1
1000-001-01,4,Vegetables,76.84166936648396,1
1000-001-01,5,NA,NA,0
1000-001-01,6,Beverages,1.2751620513361268,1
1000-001-01,7,Sugar and sweets,25.503241026722538,1
1000-001-01,8,NA,NA,0
1000-001-01,9,"Meat, meat products and fish",7.650972308016761,1
1000-001-01,10,NA,NA,0
1000-001-01,11,Oil and fats,23.233452575344227,1
1000-001-01,12,NA,NA,0
1000-001-01,13,Spices and other foods,7.650972308016761,1
1000-001-02,1,Cereals and cereal products,459.5010865164931,1
1000-001-02,2,Starches,427.33601046033857,1
1000-001-02,3,NA,NA,0
1000-001-02,4,Vegetables,112.23199162893714,1
1000-001-02,5,NA,NA,0
1000-001-02,6,NA,NA,0
1000-001-02,7,NA,NA,0
1000-001-02,8,NA,NA,0
1000-001-02,9,NA,NA,0
1000-001-02,10,NA,NA,0
1000-001-02,11,NA,NA,0
1000-001-02,12,Milk and milk products,156.40268232305135,1
1000-001-02,13,Spices and other foods,4.595010865164931,1
1000-001-03,1,Cereals and cereal products,200.6671238465541,1
1000-001-03,2,Starches,92.92303328330057,1
1000-001-03,3,"Pulses, dry",99.91724008957051,1
1000-001-03,4,Vegetables,180.07057037368227,1
1000-001-03,5,Fruits,18.73448251679447,1
1000-001-03,6,NA,NA,0
1000-001-03,7,Sugar and sweets,33.3057466965235,1
1000-001-03,8,NA,NA,0
1000-001-03,9,"Meat, meat products and fish",40.79953970324129,1
1000-001-03,10,NA,NA,0
1000-001-03,11,Oil and fats,30.308229493836386,1
1000-001-03,12,Milk and milk products,140.55025105932916,1
1000-001-03,13,Spices and other foods,8.326436674130875,1
1000-001-06,1,Cereals and cereal products,291.3461595868523,1
1000-001-06,2,Starches,177.98601749305885,1
1000-001-06,3,"Pulses, dry",176.45472877549713,1
1000-001-06,4,Vegetables,153.42857841183445,1
1000-001-06,5,Fruits,123.95454789695171,1
1000-001-06,6,Beverages,44.644826054508925,1
1000-001-06,7,Sugar and sweets,26.486014507895664,1
1000-001-06,8,Nuts and seeds,52.97202901579133,1
1000-001-06,9,"Meat, meat products and fish",52.1412449665208,1
1000-001-06,10,NA,NA,0
1000-001-06,11,Oil and fats,24.12875921669295,1
1000-001-06,12,Milk and milk products,44.17867219916997,1
1000-001-06,13,Spices and other foods,8.846328845637151,1
1001-001-01,1,Cereals and cereal products,323.8486479827843,1
1001-001-01,2,NA,NA,0
