groupcode,median,median_se,qt_q25,qt_q75,qt_q25_se,qt_q75_se,cons,per,per_se
1,387.127137357638,7.252176227000814,260.4456792938314,540.5176392797234,5.43391711904829,9.084075449698139,1,0.9810898509559585,0.0035257153074536966
2,141.03438149657893,5.821970641230546,69.04360782914826,273.44847706117775,3.2234769761452347,13.685041395974165,1,0.7591109500756931,0.01105146100444975
3,43.693819684203866,1.5754282082151603,25.419889529931194,75.44300776944198,0.8374433340621185,2.483758195090426,1,0.7494988628366088,0.011204397971918896
4,93.56479843221888,2.1777279228242916,53.02715826266087,157.3109560071917,1.5849418473674686,3.296738566414113,1,0.9772936972661479,0.0032675928193026745
5,69.43859560314255,2.952774519169384,28.122891072002027,158.0122207443566,1.250364849284907,7.381388591596026,1,0.6789585252615588,0.013683749726858485
6,7.773988107624407,1.901238197529161,0.8360245480197774,55.00193123583119,0.037808888980593515,2.814369266248426,1,0.5575534385240896,0.013246670299160733
7,27.94890375169312,0.4229886937150451,17.000284781764837,43.21304676932169,0.46277333466373766,0.9332463401059261,1,0.7177934191768646,0.013165186893900468
8,28.774232274344456,1.2202531841580289,14.131884375539924,55.267415732345,0.6280451466490204,2.1766900230130175,1,0.44886388345327577,0.015621844374115002
9,39.07226630954321,1.3850731676102872,17.468363039836174,75.55898984153966,0.7905509053434027,2.3879923730330432,1,0.8557505519270402,0.009251722754846503
10,9.813504682264304,0.49819253719676804,5.181409880124612,17.088668611170824,0.41396333900726445,1.119565036520507,1,0.16742360651920332,0.008487427583275059
11,15.114485378996363,0.3690764239553496,8.661851782645646,25.346675708867156,0.26534910113156884,0.5103820186623059,1,0.9022479593072202,0.006992619740099967
12,90.6410913236073,6.25885666001816,43.421864298810746,200.022092492642,2.258015418564029,12.973852486573644,1,0.3355479007388801,0.014576322330049594
13,7.83772361299845,0.13921820047431846,5.2659559433844185,11.849717649594085,0.08111700084803629,0.27648417265092134,1,0.98758714443715,0.0020331781136600836
