y5_hhid,afe
1000-001-01,2.8007644735713355
1000-001-02,1.2435848101265823
1000-001-03,4.289264076822349
1000-001-06,2.6968410595440124
1001-001-01,7.499093924580876
1002-001-01,2.9188305543430815
1003-001-01,3.1661908336970757
1005-001-01,5.315498511189288
1006-001-01,4.6836273984239805
1006-001-03,2.848324273703385
1006-001-04,3.4464895024676303
1006-001-05,2.70380116430176
1007-001-01,3.8846413828511643
1009-001-01,3.8279962375915635
1019-001-01,2.5514015753822865
1020-001-01,3.000369597505993
1022-001-01,4.002041954268369
1023-001-01,3.4482345074123755
1024-001-01,3.0235197855762133
1025-001-02,0.9929518987341772
1038-001-02,3.935546337331484
1039-001-01,5.84238495016538
1041-001-01,1.0362681798341336
1042-001-01,2.848324273703385
1042-001-02,0.999912003491925
1043-001-01,6.279228623039704
1044-001-01,1.2435848101265823
1045-001-01,2.4871696202531646
1058-001-01,4.820745401946315
1059-001-01,13.163034192372129
1059-001-03,8.352114165557953
1059-001-06,12.12767746850039
1060-001-01,2.3874229083695573
1061-001-03,5.900088945675367
1062-001-01,5.919287475424204
1063-001-01,11.621195972353904
1064-001-01,2.0531664831264202
1076-001-01,3.6828641805096423
1077-001-01,3.713113151352605
1078-001-01,6.664128546781493
1079-001-01,7.983445729294477
1080-001-01,5.597079564764543
1081-001-01,3.029993510514697
1082-001-01,2.8755142732431254
1083-001-01,2.2464649498035794
1095-001-01,5.147115902519253
1096-001-01,4.296419710202301
1096-001-03,2.601742121344391
1097-001-01,8.842174788947027
1097-001-02,2.769904495853339
1097-001-04,2.4035753819292887
1098-001-01,5.386266562285694
1099-001-01,2.865615024155468
1100-001-01,5.550746773970242
1102-001-01,4.017516942101815
1114-001-01,1.641108505266931
1116-001-01,5.447856374899974
1118-001-01,2.964347612157137
1119-001-02,12.292950678653739
1120-001-02,2.66910729846274
1122-001-02,2.4404962417581846
1134-001-01,2.0292200785683105
1134-001-03,8.061473042256464
1135-001-01,3.5201651680488872
1140-001-01,3.6840810518847666
1140-001-03,3.5249092803176763
1142-001-01,3.265513916451526
1152-001-01,1.0362681798341336
1154-001-01,1.0362681798341336
1155-001-01,2.914918258293653
1158-001-02,6.532213913551133
1159-001-01,0.9929518987341772
1162-001-01,4.032416090639422
1171-001-01,2.9858158009602795
1172-001-03,0.9929518987341772
1173-001-01,2.4404962417581846
1174-001-01,1.2435848101265823
1177-001-01,4.356085653148519
1177-001-03,1.5193595809690092
1179-001-01,3.470907784627738
1179-001-02,3.3961248292820825
1191-001-01,4.965427784543758
1192-001-01,4.352224593664121
1193-001-01,6.362334597288544
