hhid,adm1,adm2,res,sep_quintile,res_quintile,age_head,sex_head,educ_head,year,month,survey_wgt,ea,hhsize,headwork,educ_head2
1000-001-01,2,22,Rural,1,1,74,Male,15,2021,9,2248.76206079554,NA,4,1,1
1000-001-01,2,22,Rural,1,1,74,Male,15,2021,9,2248.76206079554,NA,4,1,1
1000-001-01,2,22,Rural,1,1,74,Male,15,2021,9,2248.76206079554,NA,4,7,1
1000-001-01,2,22,Rural,1,1,74,Male,15,2021,9,2248.76206079554,NA,4,14,1
1000-001-02,2,22,Rural,2,3,47,Male,17,2021,9,1587.0501654381,NA,1,1,1
1000-001-03,2,22,Rural,2,2,36,Male,18,2021,9,3572.40577054681,NA,6,10,2
1000-001-03,2,22,Rural,2,2,36,Male,18,2021,9,3572.40577054681,NA,6,11,2
1000-001-03,2,22,Rural,2,2,36,Male,18,2021,9,3572.40577054681,NA,6,16,2
1000-001-03,2,22,Rural,2,2,36,Male,18,2021,9,3572.40577054681,NA,6,17,2
1000-001-03,2,22,Rural,2,2,36,Male,18,2021,9,3572.40577054681,NA,6,17,2
1000-001-03,2,22,Rural,2,2,36,Male,18,2021,9,3572.40577054681,NA,6,14,2
1000-001-06,2,22,Rural,3,4,32,Male,18,2021,9,3550.49411391294,NA,3,7,2
1000-001-06,2,22,Rural,3,4,32,Male,18,2021,9,3550.49411391294,NA,3,7,2
1000-001-06,2,22,Rural,3,4,32,Male,18,2021,9,3550.49411391294,NA,3,17,2
1001-001-01,2,22,Rural,1,1,48,Male,18,2021,9,5103.59397265388,NA,7,1,2
1001-001-01,2,22,Rural,1,1,48,Male,18,2021,9,5103.59397265388,NA,7,1,2
1001-001-01,2,22,Rural,1,1,48,Male,18,2021,9,5103.59397265388,NA,7,11,2
1001-001-01,2,22,Rural,1,1,48,Male,18,2021,9,5103.59397265388,NA,7,NA,2
1001-001-01,2,22,Rural,1,1,48,Male,18,2021,9,5103.59397265388,NA,7,16,2
1001-001-01,2,22,Rural,1,1,48,Male,18,2021,9,5103.59397265388,NA,7,16,2
1001-001-01,2,22,Rural,1,1,48,Male,18,2021,9,5103.59397265388,NA,7,14,2
1001-001-01,2,22,Rural,1,1,48,Male,18,2021,9,5103.59397265388,NA,7,17,2
1002-001-01,2,22,Rural,4,4,79,Male,15,2021,9,4537.49364075702,NA,3,1,1
1002-001-01,2,22,Rural,4,4,79,Male,15,2021,9,4537.49364075702,NA,3,1,1
1002-001-01,2,22,Rural,4,4,79,Male,15,2021,9,4537.49364075702,NA,3,1,1
1003-001-01,2,22,Rural,2,3,63,Female,NA,2021,9,5918.30743903366,NA,3,1,3
1003-001-01,2,22,Rural,2,3,63,Female,NA,2021,9,5918.30743903366,NA,3,1,3
1003-001-01,2,22,Rural,2,3,63,Female,NA,2021,9,5918.30743903366,NA,3,1,3
1005-001-01,2,22,Rural,3,3,44,Male,18,2021,9,3400.99274427191,NA,6,1,2
1005-001-01,2,22,Rural,3,3,44,Male,18,2021,9,3400.99274427191,NA,6,10,2
1005-001-01,2,22,Rural,3,3,44,Male,18,2021,9,3400.99274427191,NA,6,14,2
1005-001-01,2,22,Rural,3,3,44,Male,18,2021,9,3400.99274427191,NA,6,14,2
1005-001-01,2,22,Rural,3,3,44,Male,18,2021,9,3400.99274427191,NA,6,14,2
1005-001-01,2,22,Rural,3,3,44,Male,18,2021,9,3400.99274427191,NA,6,17,2
1006-001-01,2,22,Rural,4,4,59,Male,18,2021,9,1714.21135008492,NA,4,1,2
