hhid,adm1,adm2,res,sep_quintile,res_quintile,age_head,sex_head,year,month,hhsize,work_head,educ_head,educ_head2
1000-001-01,2,22,Rural,1,1,74,Male,2021,9,4,1,15,1
1000-001-02,2,22,Rural,2,3,47,Male,2021,9,1,1,17,1
1000-001-03,2,22,Rural,2,2,36,Male,2021,9,6,10,18,2
1000-001-06,2,22,Rural,3,4,32,Male,2021,9,3,7,18,2
1001-001-01,2,22,Rural,1,1,48,Male,2021,9,7,1,18,2
1002-001-01,2,22,Rural,4,4,79,Male,2021,9,3,1,15,1
1003-001-01,2,22,Rural,2,3,63,Female,2021,9,3,1,NA,3
1005-001-01,2,22,Rural,3,3,44,Male,2021,9,6,1,18,2
1006-001-01,2,22,Rural,4,4,59,Male,2021,9,4,1,18,2
1006-001-03,2,23,Rural,4,5,31,Male,2021,9,3,7,17,1
1006-001-04,2,22,Rural,4,5,28,Male,2021,9,4,10,18,2
1006-001-05,2,22,Rural,4,5,42,Male,2021,9,3,7,18,2
1007-001-01,2,22,Rural,3,4,29,Male,2021,9,5,1,18,2
1009-001-01,2,22,Rural,5,5,42,Male,2021,9,4,1,18,2
1019-001-01,2,22,Urban,3,2,37,Female,2020,12,3,16,18,2
1020-001-01,2,22,Urban,4,3,45,Male,2020,12,3,10,24,3
1021-001-01,2,22,Urban,5,5,33,Male,2020,12,1,9,24,3
1022-001-01,2,22,Urban,2,1,40,Male,2020,12,6,4,34,3
1023-001-01,2,22,Urban,3,2,34,Male,2020,12,4,10,18,2
1024-001-01,17,175,Urban,4,3,36,Male,2021,2,3,7,43,3
1025-001-02,2,22,Urban,5,4,43,Female,2020,12,1,1,18,2
1038-001-02,2,23,Urban,2,1,33,Female,2021,10,4,7,22,3
1039-001-01,2,23,Urban,2,1,38,Male,2021,10,5,16,18,2
1041-001-01,2,23,Urban,5,5,76,Male,2021,10,1,16,19,3
1042-001-01,2,23,Urban,5,4,35,Male,2021,10,3,1,18,2
1042-001-02,2,23,Urban,5,5,27,Female,2021,10,1,9,24,3
1043-001-01,2,23,Urban,5,5,44,Male,2021,10,8,10,16,1
1044-001-01,2,23,Urban,3,2,47,Male,2021,10,3,7,18,2
1045-001-01,2,23,Urban,4,3,57,Male,2021,10,2,11,18,2
1058-001-01,23,234,Rural,3,3,33,Male,2021,12,7,1,18,2
1059-001-01,2,24,Rural,4,5,57,Male,2021,11,15,1,18,2
1059-001-03,2,24,Rural,1,2,42,Female,2021,11,13,1,18,2
1059-001-06,13,136,Rural,2,2,26,Male,2021,12,13,1,16,1
1060-001-01,2,24,Rural,1,1,55,Male,2021,11,3,1,18,2
1061-001-03,13,136,Rural,2,3,27,Male,2021,12,8,1,18,2
1062-001-01,2,24,Rural,4,4,66,Male,2021,11,8,1,NA,3
1063-001-01,13,136,Rural,2,3,62,Male,2021,12,13,1,NA,3
1064-001-01,2,24,Rural,3,4,39,Female,2021,11,3,1,18,2
1076-001-01,2,26,Rural,2,3,46,Male,2021,11,4,1,14,1
1077-001-01,2,26,Rural,4,5,46,Male,2021,11,6,1,18,2
1078-001-01,2,26,Rural,2,3,42,Male,2021,11,7,1,18,2
1079-001-01,2,26,Rural,4,5,54,Male,2021,11,7,1,18,2
1080-001-01,2,26,Rural,1,2,37,Male,2021,11,7,16,18,2
1081-001-01,2,26,Rural,4,5,42,Male,2021,11,5,10,18,2
1082-001-01,2,26,Rural,3,3,67,Female,2021,11,3,16,NA,3
1083-001-01,2,26,Rural,2,2,52,Female,2021,11,4,9,18,2
1095-001-01,2,27,Rural,3,4,46,Female,2021,2,6,10,NA,3
1096-001-01,2,27,Rural,3,3,61,Male,2021,2,7,10,15,1
1096-001-03,2,22,Rural,4,4,30,Male,2021,2,3,1,24,3
1097-001-01,2,27,Rural,1,1,38,Female,2021,2,9,1,NA,3
1097-001-02,2,27,Rural,3,3,56,Male,2021,2,3,10,NA,3
1097-001-04,2,26,Rural,4,5,25,Male,2021,8,2,10,18,2
1098-001-01,2,27,Rural,3,3,32,Female,2021,2,7,1,NA,3
1099-001-01,2,27,Rural,3,4,25,Female,2021,2,4,1,NA,3
1100-001-01,2,27,Rural,1,2,36,Female,2021,2,7,1,18,2
1102-001-01,2,27,Rural,1,1,31,Female,2021,2,5,1,NA,3
1114-001-01,7,74,Urban,4,3,30,Male,2021,10,3,7,25,3
1114-001-02,7,74,Urban,5,4,26,Male,2021,10,1,10,18,2
1116-001-01,7,74,Urban,3,2,47,Male,2021,10,6,16,18,2
1118-001-01,7,74,Urban,1,1,71,Male,2021,10,4,10,NA,3
1119-001-02,7,74,Urban,3,2,36,Female,2021,10,11,10,18,2
1120-001-02,7,71,Urban,1,1,38,Female,2021,10,3,10,18,2
1122-001-02,7,74,Urban,5,4,41,Female,2021,10,3,10,18,2
1134-001-01,18,186,Urban,5,5,64,Male,2021,12,2,1,25,3
1134-001-03,7,71,Urban,5,5,36,Male,2021,10,8,10,45,3
1135-001-01,7,71,Urban,4,3,41,Male,2021,10,3,10,18,2
1140-001-01,7,71,Urban,4,2,48,Male,2021,10,4,7,13,1
1140-001-03,1,71,Urban,1,1,28,Male,2021,10,4,7,18,2
1142-001-01,7,71,Urban,4,3,54,Male,2021,10,4,10,22,3
1152-001-01,6,64,Rural,4,5,63,Male,2021,9,1,1,18,2
1154-001-01,7,71,Urban,4,3,72,Male,2021,1,1,7,18,2
1155-001-01,7,72,Urban,4,3,38,Male,2021,1,5,5,24,3
1158-001-01,7,71,Urban,5,5,45,Male,2021,1,1,7,18,2
1158-001-02,7,71,Urban,3,1,36,Female,2021,1,6,7,NA,3
1159-001-01,7,72,Urban,5,4,47,Female,2021,1,1,10,18,2
1162-001-01,7,71,Urban,5,4,49,Male,2021,1,4,10,24,3
1171-001-01,7,71,Urban,4,2,58,Female,2021,1,3,10,18,2
1172-001-03,7,74,Urban,5,5,31,Female,2021,1,1,9,25,3
1173-001-01,7,71,Urban,5,4,42,Female,2021,1,2,10,18,2
1174-001-01,7,74,Urban,5,5,46,Male,2021,1,1,10,25,3
1177-001-01,7,74,Urban,4,3,55,Female,2021,2,6,10,24,3
1177-001-03,7,74,Urban,3,2,32,Female,2021,2,2,8,25,3
1179-001-01,7,71,Urban,5,4,66,Female,2021,1,4,11,18,2
1179-001-02,7,74,Urban,5,5,34,Male,2021,2,4,10,24,3
1179-001-06,6,67,Urban,5,4,32,Male,2021,1,1,7,25,3
1191-001-01,7,74,Urban,2,1,64,Male,2021,1,7,16,24,3
1192-001-01,7,71,Urban,5,5,48,Male,2021,1,4,10,18,2
1193-001-01,7,72,Urban,2,1,51,Male,2021,1,6,10,18,2
1194-001-01,7,71,Urban,4,2,44,Male,2021,1,5,7,18,2
1194-001-04,7,74,Urban,3,2,25,Male,2021,1,3,7,24,3
1195-001-01,7,71,Urban,5,5,48,Female,2021,1,3,10,24,3
1196-001-01,7,71,Urban,4,3,59,Male,2021,1,8,7,24,3
1196-001-04,7,74,Urban,5,5,27,Male,2021,1,1,7,25,3
1198-001-01,6,67,Urban,1,1,59,Male,2021,2,6,1,18,2
1201-001-01,7,74,Urban,5,4,68,Male,2021,1,6,7,18,2
1209-001-01,7,74,Urban,5,4,41,Male,2021,2,6,5,24,3
1210-001-01,7,71,Urban,4,3,37,Male,2021,2,6,5,18,2
1212-001-01,7,71,Urban,5,4,37,Female,2021,2,5,10,18,2
1213-001-01,7,71,Urban,4,3,52,Male,2021,2,5,10,18,2
1215-001-01,7,71,Urban,5,5,49,Male,2021,2,2,7,18,2
1217-001-01,7,74,Urban,4,3,52,Male,2021,2,4,7,18,2
1229-001-01,7,71,Urban,5,5,36,Male,2020,12,6,7,41,3
1230-001-01,7,71,Urban,5,5,63,Male,2020,12,4,10,23,3
1232-001-01,7,71,Urban,5,4,59,Male,2020,12,9,9,25,3
1232-001-03,7,71,Urban,5,5,29,Male,2020,12,1,10,2,1
1232-001-04,7,73,Urban,4,3,29,Male,2020,12,3,7,24,3
1233-001-01,7,71,Urban,5,5,59,Male,2020,12,6,1,25,3
1235-001-02,7,71,Urban,3,1,36,Female,2020,12,4,16,18,2
1236-001-01,7,71,Urban,2,1,36,Male,2020,12,6,10,15,1
1236-001-04,4,42,Urban,3,2,59,Female,2021,1,2,1,NA,3
1239-001-01,7,71,Urban,3,2,37,Female,2020,12,3,10,13,1
1239-001-02,7,71,Urban,3,2,36,Female,2020,12,3,10,18,2
1247-001-01,7,72,Urban,4,3,41,Male,2021,2,6,10,24,3
1248-001-01,7,71,Urban,5,5,56,Male,2021,2,2,10,18,2
1249-001-01,7,71,Urban,5,4,49,Male,2021,2,4,7,18,2
1250-001-01,6,62,Rural,4,4,41,Male,2021,2,4,7,18,2
1252-001-01,7,71,Urban,4,2,50,Male,2021,2,5,9,24,3
1253-001-01,7,72,Urban,4,2,38,Female,2021,2,4,10,18,2
1254-001-01,7,71,Urban,5,4,50,Male,2021,2,7,9,24,3
1266-001-02,7,71,Urban,4,2,42,Female,2021,2,5,10,18,2
1268-001-01,17,175,Urban,4,3,34,Male,2021,9,7,9,34,3
1269-001-01,7,71,Urban,3,1,37,Male,2021,2,5,9,24,3
1270-001-01,7,74,Urban,4,3,35,Male,2021,2,4,7,18,2
1272-001-01,7,72,Urban,4,2,49,Male,2021,2,7,NA,NA,3
1273-001-01,7,71,Urban,2,1,46,Male,2021,2,7,10,18,2
1285-001-02,7,75,Urban,5,5,37,Male,2021,3,5,5,41,3
1286-001-01,7,74,Urban,5,4,34,Male,2021,3,3,10,25,3
1287-001-01,7,71,Urban,3,2,48,Male,2021,3,4,7,18,2
1289-001-01,7,71,Urban,2,1,51,Male,2021,3,8,10,18,2
1290-001-01,7,71,Urban,5,4,52,Male,2021,3,4,7,32,3
1291-001-01,7,71,Urban,5,4,51,Male,2021,3,5,7,18,2
1294-001-01,7,71,Urban,5,5,32,Male,2021,3,3,9,34,3
1304-001-01,7,74,Urban,5,4,36,Female,2021,3,1,13,18,2
1305-001-01,3,34,Urban,5,5,67,Male,2021,9,1,1,24,3
1306-001-01,7,74,Urban,4,2,47,Female,2021,1,3,10,16,1
1307-001-01,7,74,Urban,2,1,69,Male,2021,1,3,10,NA,3
1309-001-01,7,74,Urban,5,4,37,Male,2021,2,8,10,18,2
1312-001-01,1,15,Urban,3,2,55,Female,2021,9,2,10,18,2
1323-001-01,7,74,Urban,2,1,40,Male,2021,3,8,7,2,1
1323-001-04,23,231,Urban,4,3,24,Male,2021,12,1,7,18,2
1323-001-05,7,74,Urban,5,4,27,Male,2021,3,1,10,NA,3
1325-001-01,7,71,Urban,4,3,47,Male,2021,3,4,7,24,3
1325-001-05,26,264,Urban,4,3,29,Female,2021,12,2,10,24,3
1328-001-01,7,74,Urban,5,4,54,Male,2021,3,4,10,18,2
1329-001-01,7,74,Urban,5,5,59,Male,2021,3,5,7,18,2
1331-001-01,7,74,Urban,5,4,57,Female,2021,3,4,7,18,2
1332-001-01,7,74,Urban,4,3,40,Male,2021,3,2,7,18,2
1333-001-01,7,74,Urban,5,4,49,Male,2021,3,5,7,24,3
1342-001-01,7,71,Urban,3,2,47,Male,2020,12,6,10,24,3
1344-001-01,7,74,Urban,5,4,51,Female,2020,12,4,8,18,2
1345-001-01,7,74,Urban,4,3,45,Female,2020,12,5,16,15,1
1346-001-01,7,74,Urban,4,3,39,Male,2020,12,4,10,24,3
1347-001-01,7,71,Urban,5,5,28,Male,2021,1,2,6,NA,3
1348-001-01,7,72,Urban,5,5,31,Male,2020,12,9,5,44,3
1350-001-01,7,74,Urban,3,2,46,Male,2020,12,6,7,18,2
1350-001-04,7,71,Urban,4,2,17,Male,2020,12,1,7,22,3
1361-001-01,7,71,Urban,5,5,45,Female,2021,3,3,5,45,3
1364-001-01,7,71,Urban,4,3,35,Male,2021,3,1,7,24,3
1364-001-04,7,71,Urban,5,5,22,Female,2021,3,2,10,24,3
1366-001-01,7,71,Urban,5,5,87,Female,2021,3,3,15,19,3
1368-001-01,7,71,Urban,5,5,39,Female,2021,3,4,6,45,3
1380-001-02,7,71,Urban,3,2,63,Female,2021,3,9,10,18,2
1383-001-01,7,71,Urban,3,2,27,Male,2021,7,4,7,21,3
1384-001-01,7,71,Urban,5,4,33,Male,2021,3,3,7,15,1
1385-001-01,7,71,Urban,5,4,44,Female,2021,3,3,10,18,2
1386-001-01,7,71,Urban,5,4,38,Female,2021,3,2,9,18,2
1387-001-02,7,71,Urban,5,5,33,Female,2021,3,3,10,22,3
1399-001-01,7,72,Urban,3,2,40,Male,2021,9,6,10,18,2
1399-001-04,7,72,Urban,5,4,21,Male,2021,10,1,7,18,2
1401-001-01,5,25,Urban,4,4,39,Male,2021,11,7,7,34,3
1402-001-01,7,72,Urban,4,2,43,Male,2021,9,6,7,16,1
1403-001-01,7,72,Urban,2,1,34,Male,2021,9,5,1,18,2
1406-001-01,7,72,Urban,4,4,40,Female,2021,9,3,10,18,2
1407-001-01,7,72,Urban,4,3,37,Male,2021,9,5,10,18,2
1419-001-01,7,72,Urban,3,1,55,Male,2021,2,4,7,34,3
1420-001-01,7,72,Urban,4,2,53,Male,2021,2,6,NA,NA,3
1421-001-01,7,72,Urban,5,5,58,Female,2021,2,2,11,24,3
1423-001-01,7,72,Urban,3,2,53,Male,2021,2,3,7,18,2
1424-001-02,7,72,Urban,4,3,44,Female,2021,2,2,9,18,2
1425-001-01,7,72,Urban,4,3,47,Female,2021,2,3,10,24,3
1426-001-01,7,72,Urban,4,3,60,Male,2021,2,3,1,18,2
1426-001-02,7,72,Urban,4,3,57,Female,2021,2,1,10,22,3
1429-001-01,5,55,Urban,1,1,48,Male,2021,9,3,16,NA,3
1437-001-01,7,72,Urban,4,2,48,Male,2021,2,10,10,18,2
1438-001-01,7,72,Urban,4,2,61,Male,2021,2,4,9,18,2
1438-001-03,7,72,Urban,4,3,39,Male,2021,2,3,10,22,3
1439-001-01,7,72,Urban,4,3,45,Male,2021,5,3,7,18,2
