itemcode,itemname
101,RICE (PADDY)
102,RICE (HUSKED)
103,"MAIZE (GREEN, COB)"
104,MAIZE (GRAIN)
105,MAIZE (FLOUR)
106,MILLET AND SORGHUM (GRAIN)
107,MILLET AND SORGHUM (FLOUR)
109,BREAD
111,"MACARONI, SPAGHETTI"
112,OTHER CEREAL PRODUCTS
201,CASSAVA FRESH
202,CASSAVA DRY/FLOUR
203,SWEET POTATOES
204,YAMS/COCOYAMS
205,IRISH POTATOES
206,"COOKING BANANAS, PLANTAINS"
207,OTHER STARCHES
301,SUGAR
302,SWEETS
303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS"
501,GROUNDNUTS IN SHELL/SHELLED
502,COCONUTS (MATURE/IMMATURE)
503,"CASHEW, ALMONDS AND OTHER NUTS"
504,SEEDS AND PRODUCTS FROM NUTS/SEEDS (EXCL. COOKING OIL)
603,"CANNED, DRIED, AND WILD VEGETABLES"
701,RIPE BANANAS
704,SUGARCANE
801,GOAT MEAT
802,BEEF (INCLUDING MINCED SAUSAGE)
803,PORK (INCLUDING SAUSAGES AND BACON)
805,WILD BIRDS AND INSECTS
806,OTHER DOMESTIC/WILD MEAT PRODUCTS
807,EGGS
809,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA)
810,PACKAGED/CANNED FISH
901,FRESH MILK
902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)"
903,CANNED MILK/MILK POWDER
1001,COOKING OIL
1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS"
1003,SALT
1004,OTHER SPICES
1081,WHEAT FLOUR
1082,BARLEY GRAIN AND OTHER CEREALS
1101,TEA DRY
1102,COFFEE AND COCOA
1103,OTHER RAW MATERIALS FOR DRINKS
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)"
1105,"PREPARED TEA, COFFEE"
1106,BOTTLED BEER
1107,LOCAL BREWS
1108,WINE AND SPIRITS
4011,PEAS
4012,GREEN BEANS
4013,"OTHER BEANS, LENTILS, AND PULSES"
6011,ONIONS
6012,TOMATOES
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO"
6021,CABBAGE
6022,CHINESS/SPINACH
6023,OTHER GREEN VEGETABLE
7021,LEMON/LIME
7022,ORANGE/TANGERINE
7023,OTHER CITRUS FRUITS
7031,MANGOES
7032,AVOCADO
7033,OTHER FRUITS
8041,CHICKEN
8042,OTHER POULTRY
8081,DAGAA (FRESH)
8082,KOLEKOLE (FRESH)
8083,TILAPIA (FRESH)
8084,OTHER FRESH FISH AND SEAFOOD
11011,BUNS
11021,CAKES AND BISCUITS
