itemcode,itemname,Sequence,Wt,source_fct,fdc_id,food_desc,Edible_factor_in_FCT,ENERCkJ,ENERCkcal,WATERg,ASHg,PROCNTg,FAT_g_standardised,FIBTGg,ALCg,CHOAVLg,CHOAVLDFg,FEmg,ZNmg,VITA_RAEmcg,THIAmg,RIBFmg,NIAmg,FOLmcg_standardised,VITB6_mg_standardised,VITB12mcg,RETOLmcg,CARTBmcg,CARTAmcg,CRYPXBmcg,CARTBEQmcg
101,RICE (PADDY),NA,1,From averages worksheet,NA,NA,1,1460,345,12.2,0.85,7.35,1.05,4.05,NA,NA,74.55,1.85,1.37,0,0.30499999999999999,0.04,3.85,16,0.31014220705347001,0,0,NA,NA,NA,0
102,RICE (HUSKED),NA,NA,KE18,1034,"Rice, white, milled, polished grain, dry, raw",1,1500,353,12.2,0.4,7.6,1,0.7,NA,NA,78.099999999999994,0.9,1.32,0,7.0000000000000007E-2,0.11,1.1,9,NA,0,0,NA,NA,NA,0
103,"MAIZE (GREEN, COB)",NA,NA,KE18,1023,"Green Maize, white, whole, grain, fresh, raw",0.68,655,157,55.1,0.8,4.1,2.5,16.100000000000001,NA,NA,21.4,1.2,1.95,8,0.18,0.1,1.55,78,NA,0,0,NA,NA,NA,98
104,MAIZE (GRAIN),NA,1,From averages worksheet,NA,NA,1,1449.40119760479,344.850299401198,13.573053892215601,1.1940119760479,7.95077844311377,4.47604790419162,9.4748502994012007,NA,NA,63.373053892215601,2.63892215568862,1.8925748502994,0.59880239520958,0.25748502994012001,0.10059880239521,2.0059880239521,69.862275449101801,0.34176361184353798,0,0,NA,NA,NA,7.2155688622754397
105,MAIZE (FLOUR),NA,1,From averages worksheet,NA,NA,1,NA,355,NA,NA,8.33333333333333,3.2,NA,NA,NA,NA,2.26666666666667,1.4733333333333301,3.66666666666667,0.26,0.106666666666667,2.06666666666667,34.6666666666667,0.277186621056632,0,NA,NA,NA,NA,NA
106,MILLET AND SORGHUM (GRAIN),NA,1,From averages worksheet,NA,NA,1,1415.7142857142901,335.642857142857,11.5253968253968,2.1103174603174599,9.58650793650794,3.53174603174603,13.823015873015899,NA,NA,59.5015873015873,6.0015873015873,2.1760317460317502,0.658730158730159,0.23682539682539699,0.108412698412698,3.22063492063492,84.158730158730194,0.355119657041498,0,0,NA,NA,NA,11.9285714285714
107,MILLET AND SORGHUM (FLOUR),NA,1,From averages worksheet,NA,NA,1,1413.56756756757,335.008108108108,11.474054054054101,2.2456756756756699,9.59810810810811,3.56162162162162,14.079729729729699,NA,NA,59.111351351351402,13.2243243243243,2.27778378378378,0.294594594594595,0.235891891891892,0.107945945945946,3.1972972972973,NA,NA,0,0,NA,NA,NA,2.8530000000000002
109,BREAD,NA,1,From averages worksheet,NA,NA,1,1340.7901673640199,319.880125523013,28.991820083682001,1.6525104602510501,7.71089958158996,10.6670711297071,5.5137029288702903,NA,NA,45.505794979079504,2.2015690376569,1.2219372384937199,11.6541841004184,0.23654184100418399,0.0682740585774059,2.92171548117155,15.345606694560701,NA,3.5719665271966503E-2,11.129079497908,NA,NA,NA,6.7359832635983299
111,"MACARONI, SPAGHETTI",NA,1,From averages worksheet,NA,NA,1,1503.1818181818201,354.727272727273,10.4409090909091,1.08181818181818,12.7454545454545,1.40454545454545,3.2045454545454599,NA,NA,71.127272727272697,1.04090909090909,0.6,0,7.0000000000000007E-2,0.0586363636363636,1.1,16.045454545454501,0.16691273215689201,0,0,NA,NA,NA,0
112,OTHER CEREAL PRODUCTS,NA,1,From averages worksheet,NA,NA,1,1505,355.5,9.4,2.75,14,4,7.75,NA,NA,62.15,8.55,3.0649999999999999,0,0.23,0.24,1.95,124,0.541734104046243,0,0,NA,NA,NA,2.5
201,CASSAVA FRESH,NA,NA,KE18,5004,"Banana, cavendish, raw",0.62,402,95,74.400000000000006,0.9,1.08,0.3,2.75,NA,NA,20.6,0.3,0.36,5,0.05,0.05,0.35,22,0.28981132075471699,0,0,NA,NA,NA,56
202,CASSAVA DRY/FLOUR,NA,1,From averages worksheet,NA,NA,1,1456.63586956522,343.211956521739,10.3401086956522,1.9654347826087,1.55576086956522,0.7,5.6492934782608701,0,NA,79.789402173913004,2.2433152173913,0.391195652173913,0.442391304347826,9.66358695652174E-2,0.0532717391304348,1.37788043478261,75.668478260869605,9.5298913043478206E-2,0,0,5.3086956521739097,0,0,5.3086956521739097
203,SWEET POTATOES,NA,1,From averages worksheet,NA,NA,0.84,388.5,92,74.400000000000006,1.25,1.75,0.5,3.95,NA,NA,18.2,0.7,0.21,4.5,7.0000000000000007E-2,0.03,0.75,15,9.7338403041825103E-2,0,0,NA,NA,NA,55.5
204,YAMS/COCOYAMS,NA,1,From averages worksheet,NA,NA,0.81,508,120,67.400000000000006,1.56666666666667,2.83333333333333,0.233333333333333,2.7,NA,NA,25.266666666666701,0.733333333333333,0.31666666666666698,15.3333333333333,0.103333333333333,0.0266666666666667,0.733333333333333,20.6666666666667,0.28009363295880202,0,0,NA,NA,NA,187
205,IRISH POTATOES,NA,NA,KE18,2007,"Cassava, root, white, peeled, raw",0.93,733,173,53.8,1,1.3,0.3,4.5999999999999996,NA,NA,39.1,0.9,0.34,1,0.23,0.01,0.4,27,8.5329815303430104E-2,0,0,NA,NA,NA,8
206,"COOKING BANANAS, PLANTAINS",NA,NA,KE18,2004,"Banana, plantain, green, raw",0.5,410,97,73.599999999999994,0.9,1.4,0.4,3.6,NA,NA,20.100000000000001,0.8,0.23,0,0.06,0.04,0.33,19,0.110255220417633,0,0,NA,NA,NA,3
